network,attribute,fraction_removed,n_labeled,n_unlabeled,accuracy,mae
Caltech36,dorm,0.1,535,59,0.847457627118644,0.15254237288135597
Caltech36,dorm,0.2,476,118,0.8983050847457628,0.10169491525423724
Caltech36,dorm,0.3,416,178,0.8595505617977528,0.1404494382022472
Caltech36,major_index,0.1,619,68,0.17647058823529413,0.8235294117647058
Caltech36,major_index,0.2,550,137,0.25547445255474455,0.7445255474452555
Caltech36,major_index,0.3,481,206,0.21844660194174756,0.7815533980582524
Caltech36,gender,0.1,630,69,0.6956521739130435,0.30434782608695654
Caltech36,gender,0.2,560,139,0.6834532374100719,0.3165467625899281
Caltech36,gender,0.3,490,209,0.6411483253588517,0.3588516746411483
